GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Library,com.library.Library,LibraryApplication,8,0,0,0,3,0,2,0,2,0
Library,com.library.Library.security,UserDetailServiceImpl,14,0,0,0,3,0,2,0,2,0
Library,com.library.Library.security,WebSecurityConfig,95,0,0,0,34,0,5,0,5,0
Library,com.library.Library.security,JWTAuthorizationFilter,29,0,4,0,8,0,4,0,2,0
Library,com.library.Library.security,UserDetailsImpl,24,0,0,0,8,0,8,0,8,0
Library,com.library.Library.security,AuthCredentials,115,0,22,0,3,0,20,0,9,0
Library,com.library.Library.security,TokenUtils,46,0,0,0,17,0,3,0,3,0
Library,com.library.Library.security,JWTAuthenticationFilter,64,0,0,0,18,0,4,0,4,0
Library,com.library.Library.persistence.models,User,121,0,22,0,4,0,20,0,9,0
Library,com.library.Library.persistence.models,Book,160,14,30,0,6,3,24,4,9,4
Library,com.library.Library.persistence.models,Author,157,10,24,0,6,3,22,3,10,3
Library,com.library.Library.persistence.repositories.Impl,AuthorRepositoryImpl,164,0,8,0,33,0,12,0,8,0
Library,com.library.Library.persistence.repositories.Impl,BookRepositoryImpl,150,0,10,0,31,0,14,0,9,0
Library,com.library.Library.services.Impl,AuthorServiceImpl,34,0,0,0,12,0,7,0,7,0
Library,com.library.Library.services.Impl,BookServiceImpl,34,0,0,0,11,0,7,0,7,0
Library,com.library.Library.controllers,LibraryController,180,35,17,3,35,8,19,3,10,2
